id,date,text,author_name,retweets,likes
8.66587555042656E+017,Mon May 22 15:02:28 IST 2017,RT @o2amber: Exclusive proof that why Mumbai wins the #iplfinal2017 We will go to @ICC with this proof ~ #रायता_नरेश…,ashwin124,0,0
8.66587558959956E+017,Mon May 22 15:02:29 IST 2017,My IPL Team 2017 Gambhir (C) warner smith raina Pant(Wk) manish pandey narine Bhuvi Bumrah Unadkat umesh #IPL,happiestgirl96,0,0
8.66587578459238E+017,Mon May 22 15:02:33 IST 2017,"Player of the Series in #IPL: Watson Gilchrist Tendulkar Gayle Narine Watson Maxwell Russell Kohli 2017: STOKES*""",AlHaramNews,0,0
8.66587580502078E+017,Mon May 22 15:02:34 IST 2017,RT @ImRaina: Wat a match best final in IPL so far great captaincy under pressure @ImRo45 so so so close #IPLfinal #RPSvsMI #IPL2017 #MUMBA…,Saurabh18091989,0,0
8.66587602455024E+017,Mon May 22 15:02:39 IST 2017,RT @shek81: WOW! What a final. Just goes to show it's not all about the high scoring games! Well done @mipaltan 👏 #IPL #IPL2017 #IPL2017Fi…,anvouseapu1983,0,0
8.66587612026249E+017,Mon May 22 15:02:41 IST 2017,RT @Atheist_Krishna: Gautam Gambhir right now. #IPLfinal https://t.co/tWYe4cyBec,davidaguiar30,0,0
8.66587615008575E+017,Mon May 22 15:02:42 IST 2017,"RT @Sport360: Why @MitchJohnson398 was the key man for @mipaltan to help clinch #IPL glory 🏆, says @ImRo45 🏏 📰➡️…",ajvk1984,0,0
8.66587617982386E+017,Mon May 22 15:02:43 IST 2017,RT @mipaltan: The winning moment! 🏆😍 #BELI3VE #CricketMeriJaan #IPLfinal https://t.co/OtOw2sAR1O,InHopeToGetYou,0,0
8.6658762879529E+017,Mon May 22 15:02:45 IST 2017,RT @mipaltan: A selfie with a champion of cricket - Sachin Tendulkar! #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/gYeRbu6kgV,InHopeToGetYou,0,0
8.66587636177261E+017,Mon May 22 15:02:47 IST 2017,RT @IPL: CHAMPIONS - 2017 #IPLfinal https://t.co/cK1N9FjHPP,inasan_jimmy,0,0
8.66587650236576E+017,Mon May 22 15:02:50 IST 2017,RT @mipaltan: The champions' selfie! 💙 #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/pNK9CfQZfm,InHopeToGetYou,0,0
8.66587652446966E+017,Mon May 22 15:02:51 IST 2017,RT @VVSLaxman281: What a brilliant #IPLfinal Congratulations @mipaltan on a great victory👍👌Congrats to @RPSupergiants as well for an outst…,Saurabh18091989,0,0
8.6658766141003E+017,Mon May 22 15:02:53 IST 2017,"RT @sagarcasm: This week, we learnt the importance of 1: #IPLFinal can be won by MI by 1 run Pakistan can be humiliated by Harish Salve i…",g10lad,0,0
8.66587661385036E+017,Mon May 22 15:02:53 IST 2017,RT @ItsSajidK1: Who is India's Biggest Crowd Puller? #ShahRukhKhan #NarendraModi #SachinTendulkar #SalmanKhan #SRK25MILLION #AmiKKR #IPL #…,SRKsDaring,0,0
8.66587663725244E+017,Mon May 22 15:02:54 IST 2017,"RT @cricbuzz: After more than one and a half months, it all came down to one run as @mipaltan clinched their 3rd #IPL title…",pranav9983,0,0
8.66587666632069E+017,Mon May 22 15:02:54 IST 2017,RT @kabirputra: #BBMAsOnVh1 #IPLfinal Do you know #kabirisgod Get knowledge by our vedas & holyscriptures. #SantRampalJi…,kb5Za4ebTOi2rvb,0,0
8.66587678283887E+017,Mon May 22 15:02:57 IST 2017,Mumbai Indians Had Strongest Team in this decade. Much Deserved To Win The #IPLfinal. Congrats! to all................. 😀😀😄,JustinBabu17,0,0
8.66587679605109E+017,Mon May 22 15:02:57 IST 2017,Talented Tweet. https://t.co/XGmiRpMTIt,SRK_Virat,0,0
8.66587681811304E+017,Mon May 22 15:02:58 IST 2017,#Nani's prayer answered. Jio Mumbai Indians. @mipaltan #IPLfinal https://t.co/lqiAyi4i2M,Satyamrai7777,0,0
8.66587684906697E+017,Mon May 22 15:02:59 IST 2017,RT @ImRaina: Wat a match best final in IPL so far great captaincy under pressure @ImRo45 so so so close #IPLfinal #RPSvsMI #IPL2017 #MUMBA…,InHopeToGetYou,0,0
8.6658768429013E+017,Mon May 22 15:02:59 IST 2017,#Mubarakan @mipaltan for winning this season of #IPL & being the champions once again! https://t.co/Gkn93eL26W,sonypics_prodn,0,0
8.66587697384743E+017,Mon May 22 15:03:02 IST 2017,"RT @mipaltan: ""It's not how you start the race, it's how you finish."" Words of wisdom by @MahelaJay. 🙌👌 #CricketMeriJaan #MI #IPLfinal",Saurabh18091989,0,0
8.66587703281828E+017,Mon May 22 15:03:03 IST 2017,"RT @ImRo45: Winning takes talent, to repeat takes character, grit and intelligence. What a brilliant final to be part of @mipaltan #IPLfinal",UdhayaTwtz,0,0
8.66587704519123E+017,Mon May 22 15:03:03 IST 2017,"RT @LMKMovieManiac: #RPSvsMI #IPLfinal Low scoring thriller, very well-contested, bowlers dictating! Worth the occasion. Congrats #MI - 1st…",senthilt181,0,0
8.6658770437666E+017,Mon May 22 15:03:03 IST 2017,"RT @callmebreather: So Mukesh Ambani, now treat us with an another year of free JIO data and calls. #IPLfinal #RPSvMI",JustinTheAweso1,0,0
8.66587711536157E+017,Mon May 22 15:03:05 IST 2017,RT @RanveerOfficial: Weeeee are the CHAMPIONSSSSS !!! 🤘🏽🎶🎶🎶 😍🏏🏆🏆🏆 #MI #IPLfinal @mipaltan https://t.co/q2vpxKzBPK,DeepikaP_Lover,0,0
8.66587715189572E+017,Mon May 22 15:03:06 IST 2017,"RT @callmebreather: Mumbai Indians now be like, dancing on this song. #IPLfinal #RPSvMI https://t.co/XYnvQMidwh",JustinTheAweso1,0,0
8.66587716032582E+017,Mon May 22 15:03:06 IST 2017,RT @SirJadeja: This Is #MSDhoni's First #IPLfinal As Non-captain. This Is Also #Dhoni's Last Match As Non-captain.🙏🏾 #IPL…,sivaprakasheee7,0,0
8.66587717966086E+017,Mon May 22 15:03:07 IST 2017,"Man of the Match in #IPLFinal: YPathan Kumble Raina M Vijay Bisla Pollard Pandey Rohit Cutting 2017: KRUNAL*""",AlHaramNews,0,0
8.6658772510892E+017,Mon May 22 15:03:08 IST 2017,RT @RanveerOfficial: Weeeee are the CHAMPIONSSSSS !!! 🤘🏽🎶🎶🎶 😍🏏🏆🏆🏆 #MI #IPLfinal @mipaltan https://t.co/q2vpxKzBPK,IamAkRahul,0,0
8.66587727541801E+017,Mon May 22 15:03:09 IST 2017,"RT @mipaltan: The Orange cap goes to #DavidWarner, who scored 641 runs in the season. 👏 #CricketMeriJaan #MI #IPLfinal",InHopeToGetYou,0,0
8.66587737264206E+017,Mon May 22 15:03:11 IST 2017,RT @VVSLaxman281: What a brilliant #IPLfinal Congratulations @mipaltan on a great victory👍👌Congrats to @RPSupergiants as well for an outst…,InHopeToGetYou,0,0
8.66587737155019E+017,Mon May 22 15:03:11 IST 2017,Congratulations @sachin_rt @ImRo45 Very Well Bowland @Jaspritbumrah93 @MitchJohnson398 & to the entire team of… https://t.co/BEaCmHMh54,Pratikkargupta1,0,0
8.66587737838703E+017,Mon May 22 15:03:11 IST 2017,"@mipaltan @sachin_rt The man who inspired us all, my small tribute to the God. 😊💙 #CricketMeriJaan #MI #IPL https://t.co/tHw3XvfA32",PrrasadKhomne,0,0
8.66587754985124E+017,Mon May 22 15:03:15 IST 2017,"RT @Pratham_Purush: When Steve Smith adjusts the field, Dhoni be like- #IPLfinal https://t.co/toSf3po6f9",HitmanCricket,0,0
8.66587760806609E+017,Mon May 22 15:03:17 IST 2017,RT @ItsSajidK1: Who is India's Biggest Crowd Puller? #ShahRukhKhan #NarendraModi #SachinTendulkar #SalmanKhan #SRK25MILLION #AmiKKR #IPL #…,iamtapo,0,0
8.66587771686838E+017,Mon May 22 15:03:19 IST 2017,"After more than one and a half months, it all came down to one run as mipaltan clinched their 3rd #IPL title… https://t.co/vngHz2nUtI",CricketUrdu,0,0
8.66587772215325E+017,Mon May 22 15:03:19 IST 2017,RT @SirJadeja: All's Well That Ends Well. Mumbai Indians Had Strongest Team. Much Deserved To Win The #IPLfinal. Congrats! Always…,Jillabala2,0,0
8.66587773028807E+017,Mon May 22 15:03:20 IST 2017,"RT @SirJadeja: Rohit Sharma Scored 24 Off 22. No One Would Say Anything.Had It Been #MSDhoni,Test Match Brigade Would Have Started Trolling…",JakkiReddyVije1,0,0
8.66587774681399E+017,Mon May 22 15:03:20 IST 2017,RT @movie_glamor: Congratulations to Mumbai Indians team for winning #IPLfinal it was a nerve wrecking match.. @mipaltan #IPL…,junejaseem,0,0
8.66587788195619E+017,Mon May 22 15:03:23 IST 2017,RT @kabirputra: #BBMAsOnVh1 #IPLfinal #kabirisgod Know who is creature of all universe. https://t.co/Ob9O9VsZ7Q https://t.co/voYwl244ER,kb5Za4ebTOi2rvb,0,0
8.66587791613977E+017,Mon May 22 15:03:24 IST 2017,RT @omparkashjatt: #IndianTeaLove is bcoz people get time to remember🙏God To win #IPLfinal pray to RealGod who hv solution👇to all prbl…,MukeshS22755298,0,0
8.66587814279996E+017,Mon May 22 15:03:30 IST 2017,"After more than one and a half months, it all came down to one run as mipaltan clinched their 3rd #IPL title… https://t.co/9ETioLKoTd",StarScoreInfo,0,0
8.66587825554076E+017,Mon May 22 15:03:32 IST 2017,RT @foxbuff007: #IPLCheerleaders Shocking Remuneration @IPL #IPLfinal #RPSvMI #GetReady2WhistlePodu4CSK https://t.co/9OPxRzhgkc https://…,DivyaBhawnani,0,0
8.66587835842699E+017,Mon May 22 15:03:35 IST 2017,RT @NeverEverGivUp_: Best thing I've read tonight 😂😂 #MIvsRPS #IPL #IPLfinal https://t.co/G67ZZiNMHu,Mahesh_Devotee,0,0
8.6658784075427E+017,Mon May 22 15:03:36 IST 2017,RT @mipaltan: Retweet to vote for Mitchell Johnson as your Fans' Player of the Match! #CricketMeriJaan #IPLfinal #BELI3VE https://t.co/nd…,hasan_hasanimam,0,0
8.6658784124099E+017,Mon May 22 15:03:36 IST 2017,RT @mipaltan: Congratulations to @krunalpandya24 on winning the Man of the Match award! 👏 #CricketMeriJaan #IPLfinal #BELI3VE https://t.co…,InHopeToGetYou,0,0
8.6658784824966E+017,Mon May 22 15:03:38 IST 2017,RT @virendersehwag: What a brilliant #IPLfinal Congratulations @mipaltan on a great victory.Congratulations to Pune as well for giving suc…,nawneetpandey5,0,0
8.6658785429787E+017,Mon May 22 15:03:39 IST 2017,RT @SirPareshRawal: We have a wide variety of choices ! https://t.co/rpciWyhLha,akshutyagi360,0,0
8.66587857187742E+017,Mon May 22 15:03:40 IST 2017,"RT @RanveerOfficial: FOUGHT !!!!! DEFENDED !!!!! What a sweet , sweet victory !!! Glorious, GLORIOUS stuff , boys !!!! 💪🏽🏆🏏 @mipaltan #RPSv…",Saurabh18091989,0,0
8.66587857732895E+017,Mon May 22 15:03:40 IST 2017,RT @sonypics_prodn: #Mubarakan @mipaltan for winning this season of #IPL & being the champions once again! https://t.co/Gkn93eL26W,BeingTheVagrant,0,0
